FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2021 ORDINANCE (AMOUNT $)
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,5,SALARIES AND WAGES - ON PAYROLL,163200
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,15,SCHEDULE SALARY ADJUSTMENTS,1784
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,39,STUDENT AS TRAINEES,3478
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,44,FRINGE BENEFITS,74109
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,140,PROFESSIONAL AND TECHNICAL SERVICES,1219381
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,152,ADVERTISING,10000
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,157,RENTAL EQUIPMENT AND SERVICES,20000
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,159,LEASE/PURCHASE EQUIPMENT,2600
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,169,TECHNICAL MEETING COSTS,30000
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,190,TELEPHONE - CENTREX BILLINGS,1950
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,270,LOCAL TRANSPORTATION,150
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,348,BOOKS AND RELATED MATERIAL,1624
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,350,STATIONERY AND OFFICE SUPPLIES,3500
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,9438,REIMBURSEMENT - AIS,5000
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,5,SALARIES AND WAGES - ON PAYROLL,450440
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,15,SCHEDULE SALARY ADJUSTMENTS,1861
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,44,FRINGE BENEFITS,215320
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,140,PROFESSIONAL AND TECHNICAL SERVICES,25098
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,169,TECHNICAL MEETING COSTS,14451
